Data,Net,MODE,Domain,Iteration,Accuracy,TimeStamp,elapse(ms),,,
CIFAR10,VGG,GPU,Spatial,25000,0.96875,1.56445E+12,36564,,,
CIFAR10,VGG,GPU,Spatial,25100,1,1.56445E+12,36580,,,
CIFAR10,VGG,GPU,Spatial,25200,0.984375,1.56445E+12,36586,,,
CIFAR10,VGG,GPU,Spatial,25300,0.96875,1.56445E+12,36588,,,
CIFAR10,VGG,GPU,Spatial,25400,0.984375,1.56445E+12,36589,,,
CIFAR10,VGG,GPU,Spatial,25500,0.9765625,1.56445E+12,36598,,,
CIFAR10,VGG,GPU,Spatial,25600,0.9765625,1.56445E+12,36646,,,
CIFAR10,VGG,GPU,Spatial,25700,0.984375,1.56445E+12,36640,,,
CIFAR10,VGG,GPU,Spatial,25800,0.9921875,1.56445E+12,36648,,,
CIFAR10,VGG,GPU,Spatial,25900,0.984375,1.56445E+12,113221,,,
CIFAR10,VGG,GPU,Spatial,26000,0.9921875,1.56445E+12,36566,,,
CIFAR10,VGG,GPU,Spatial,26100,0.96875,1.56445E+12,36581,,,
CIFAR10,VGG,GPU,Spatial,26200,0.9609375,1.56445E+12,36584,,,
CIFAR10,VGG,GPU,Spatial,26300,0.9765625,1.56445E+12,36588,,,
CIFAR10,VGG,GPU,Spatial,26400,0.9765625,1.56445E+12,36589,,,
CIFAR10,VGG,GPU,Spatial,26500,0.9765625,1.56445E+12,36594,,,
CIFAR10,VGG,GPU,Spatial,26600,0.96875,1.56445E+12,36593,,,
CIFAR10,VGG,GPU,Spatial,26700,0.9765625,1.56445E+12,36586,,,
CIFAR10,VGG,GPU,Spatial,26800,0.96875,1.56445E+12,36594,,,
CIFAR10,VGG,GPU,Spatial,26900,0.9765625,1.56445E+12,113138,,,
CIFAR10,VGG,GPU,Spatial,27000,0.9765625,1.56445E+12,36566,,,
CIFAR10,VGG,GPU,Spatial,27100,0.984375,1.56445E+12,36576,,,
CIFAR10,VGG,GPU,Spatial,27200,0.9921875,1.56445E+12,36588,,,
CIFAR10,VGG,GPU,Spatial,27300,0.984375,1.56445E+12,36595,,,
CIFAR10,VGG,GPU,Spatial,27400,1,1.56445E+12,36589,,,
CIFAR10,VGG,GPU,Spatial,27500,0.984375,1.56445E+12,36587,,,
CIFAR10,VGG,GPU,Spatial,27600,0.984375,1.56445E+12,36591,,,
CIFAR10,VGG,GPU,Spatial,27700,0.9609375,1.56445E+12,36593,,,
CIFAR10,VGG,GPU,Spatial,27800,0.9921875,1.56445E+12,36591,,,
CIFAR10,VGG,GPU,Spatial,27900,0.96875,1.56445E+12,113138,,,
CIFAR10,VGG,GPU,Spatial,28000,0.9765625,1.56445E+12,36568,,,
CIFAR10,VGG,GPU,Spatial,28100,0.9765625,1.56445E+12,36575,,,
CIFAR10,VGG,GPU,Spatial,28200,0.9765625,1.56445E+12,36583,,,
CIFAR10,VGG,GPU,Spatial,28300,0.9609375,1.56445E+12,36590,,,
CIFAR10,VGG,GPU,Spatial,28400,0.9921875,1.56445E+12,36639,,,
CIFAR10,VGG,GPU,Spatial,28500,0.96875,1.56445E+12,36642,,,
CIFAR10,VGG,GPU,Spatial,28600,0.96875,1.56445E+12,36650,,,
CIFAR10,VGG,GPU,Spatial,28700,0.9921875,1.56445E+12,36649,,,
CIFAR10,VGG,GPU,Spatial,28800,0.984375,1.56445E+12,36647,,,
CIFAR10,VGG,GPU,Spatial,28900,0.9765625,1.56445E+12,113238,,,
CIFAR10,VGG,GPU,Spatial,29000,1,1.56445E+12,36585,,,
CIFAR10,VGG,GPU,Spatial,29100,0.9921875,1.56445E+12,36592,,,
CIFAR10,VGG,GPU,Spatial,29200,0.9765625,1.56445E+12,36593,,,
CIFAR10,VGG,GPU,Spatial,29300,0.984375,1.56445E+12,36603,,,
CIFAR10,VGG,GPU,Spatial,29400,0.96875,1.56445E+12,36599,,,
CIFAR10,VGG,GPU,Spatial,29500,0.9921875,1.56445E+12,36596,,,
CIFAR10,VGG,GPU,Spatial,29600,0.96875,1.56445E+12,36598,,,
CIFAR10,VGG,GPU,Spatial,29700,1,1.56445E+12,36596,,,
CIFAR10,VGG,GPU,Spatial,29800,0.9609375,1.56445E+12,36598,,,
CIFAR10,VGG,GPU,Spatial,29900,0.9765625,1.56445E+12,113294,,,
CIFAR10,VGG,GPU,Spatial,30000,0.9609375,1.56445E+12,36577,,,
CIFAR10,VGG,GPU,Spatial,30100,0.96875,1.56445E+12,36588,,,
CIFAR10,VGG,GPU,Spatial,30200,0.96875,1.56445E+12,36593,,,
CIFAR10,VGG,GPU,Spatial,30300,0.9765625,1.56445E+12,36595,,,
CIFAR10,VGG,GPU,Spatial,30400,0.96875,1.56445E+12,36596,,,
CIFAR10,VGG,GPU,Spatial,30500,0.9765625,1.56445E+12,36594,,,
CIFAR10,VGG,GPU,Spatial,30600,0.96875,1.56445E+12,36597,,,
CIFAR10,VGG,GPU,Spatial,30700,0.984375,1.56445E+12,36602,,,
CIFAR10,VGG,GPU,Spatial,30800,0.9921875,1.56445E+12,36599,,,
CIFAR10,VGG,GPU,Spatial,30900,0.984375,1.56445E+12,113141,,,
CIFAR10,VGG,GPU,Spatial,31000,0.984375,1.56445E+12,36583,,,
